#,Category,Business Name,Phone,Rating,Reviews,Address/City,Website,Owner/Manager,Title,Email,Source,License#
1,HVAC - Dallas,"StrikeForce Heating & Air LLC",+1 214-570-4966,4.9,207,"9734 Skillman St Dallas TX",Unknown,"Tobijah A. Puttrich",License Holder,tobijah@Unknown,TDLR,TACLB00040686E
2,HVAC - Dallas,"Air Conditioning & Heating Dallas Pros",+1 214-833-0536,5.0,9,"4237 Potomac Ave Dallas TX",Unknown,"Troy Brandon Quigley",License Holder,troy@Unknown,TDLR,TACLA00023686E
3,HVAC - Dallas,"Air Force One Plumbing Heating & Air",+1 469-476-4846,4.6,231,"Dallas TX",astardfw.com,"Unknown",Unknown,Unknown,,
4,HVAC - Dallas,"Cozy-D Heating & A/C LLC",+1 214-612-0133,4.9,465,"Dallas TX",Unknown,"Thomas Wayne Deason",License Holder,thomas@Unknown,TDLR,TACLB00016822E
5,HVAC - Dallas,"billyGO Air Conditioning & Plumbing",+1 214-267-9944,4.7,1344,"17430 Campbell Rd Dallas TX",billygo.com,"Billy Stevens",Owner,billy@billygo.com,GPT-4o,
6,HVAC - Dallas,"Air 75",+1 469-343-0107,4.9,129,"4211 Cedar Springs Rd Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
7,HVAC - Dallas,"Efficient Home Solutions of Dallas",+1 214-612-7493,4.8,105,"10000 N Central Expy Dallas TX",Unknown,"David A. Rivera",License Holder,david@Unknown,TDLR,TACLB00037763E
8,HVAC - Dallas,"Moss Heating Cooling & Plumbing",+1 214-352-0311,4.8,216,"2525 Southwell Rd Dallas TX",Unknown,"Graye Eric Roberts",License Holder,graye@Unknown,TDLR,TACLA00109995E
9,HVAC - Dallas,"Quigley Heating & Air Conditioning",+1 214-526-8533,4.8,754,"2616 Manor Way Dallas TX",Unknown,"Troy Brandon Quigley",License Holder,troy@Unknown,TDLR,TACLA00023686E
10,HVAC - Dallas,"Airtron Heating & Air Conditioning",+1 214-341-2665,4.6,1400,"1205 Executive Dr W Richardson TX",Unknown,"Glen R. Pollock",License Holder,glen@Unknown,TDLR,TACLA00014513E
11,HVAC - Dallas,"Baker Brothers Plumbing Air & Electric",+1 214-814-8388,4.8,15000,"2615 Big Town Blvd Mesquite TX",bakerbrothersplumbing.com,"Jimmie Dale",President,jimmie@bakerbrothersplumbing.com,GPT-4o,
12,HVAC - Dallas,"Milestone Home Service Co.",+1 214-267-9444,4.8,18000,"2300 Valley View Ln Irving TX",Unknown,"Steve Sanders",CEO,steve@Unknown,Web,
13,HVAC - Dallas,"Willard Air Conditioning",+1 972-564-9785,4.9,3500,"410 S Goliad St Rockwall TX",Unknown,"Randall Lynn Willard",License Holder,randall@Unknown,TDLR,TACLA00007382E
14,HVAC - Dallas,"Ellis AC & Furnace Repair",+1 972-846-9386,4.8,94,"1717 McKinney Ave Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
15,HVAC - Dallas,"Silver Spur Air Heating & Plumbing",+1 972-290-1996,4.9,35,"4300 N Central Expy Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
16,HVAC - Dallas,"A-Star Air Conditioning & Plumbing",+1 972-485-0813,4.8,300,"3110 National Cir Garland TX",Unknown,"Unknown",Unknown,Unknown,,
17,HVAC - Dallas,"Cool Experts AC and Heating",+1 469-808-0243,5.0,200,"7150 Skillman St Dallas TX",Unknown,"Gustavo Gonzalez",License Holder,gustavo@Unknown,TDLR,TACLA00089058E
18,HVAC - Dallas,"Levy & Son Service Experts",+1 214-351-6171,4.7,2000,"11024 Indian Trail Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
19,HVAC - Dallas,"Rescue Air and Plumbing",+1 972-964-2665,4.8,1500,"1500 N Glenville Dr Richardson TX",rescueairtx.com,"Josh Campbell",Owner,josh@rescueairtx.com,GPT-4o,
20,HVAC - Dallas,"Infinity Air & Heat",+1 214-600-6000,4.9,150,"11882 Greenville Ave Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
21,HVAC - Dallas,"Houk Air Conditioning Inc.",+1 817-265-1191,4.9,500,"Haslet TX",Unknown,"Unknown",Unknown,Unknown,,
22,HVAC - Dallas,"Extreme Air & Heat",+1 972-288-2263,4.9,300,"Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
23,HVAC - Dallas,"Cyclone Heating and Air",+1 469-358-9617,4.9,100,"Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
24,HVAC - Dallas,"K&S Heating & Air",+1 972-271-9319,4.8,1000,"Dallas TX",Unknown,"Stephen B. Sheffield",License Holder,stephen@Unknown,TDLR,TACLB00009033E
25,HVAC - Dallas,"Wolfe Mechanical",+1 972-840-0220,4.9,100,"Dallas TX",Unknown,"Unknown",Unknown,Unknown,,
26,Plumbing - Dallas,"Astar Air Conditioning Plumbing & Electric",+1 972-656-1317,4.8,2782,"9201 Forest Lane Dallas TX",astarair.com,"Unknown",Unknown,info@astarair.com,,
27,Plumbing - Dallas,"CR Plumbing Air & Electric",+1 940-394-8705,4.9,637,"3121 Cross Timbers Road TX",crplumbingelectric.com,"Unknown",Unknown,info@crplumbingelectric.com,,
28,Plumbing - Dallas,"Public Service Plumbers",+1 214-363-4477,4.9,1850,"5610 Dyer St Dallas TX",publicserviceplumbers.com,"David Cross",Owner,david@publicserviceplumbers.com,GPT-4o,
29,Plumbing - Dallas,"Benjamin Franklin Plumbing (Dallas)",+1 972-562-1776,4.8,3000,"2602 National Dr Garland TX",benjaminfranklinplumbing.com,"Local Franchise",Manager,info@benjaminfranklinplumbing.com,Web,
30,Plumbing - Dallas,"Roto-Rooter Plumbing (Dallas)",+1 214-506-0301,4.7,1500,"10720 Miller Rd Dallas TX",rotorooter.com/dallas,"National Franchise",Branch Manager,dallas@rrsc.com,Web,
31,Plumbing - Dallas,"Dallas Plumbing Company",+1 214-340-6300,4.8,500,"11055 Plano Rd Dallas TX",dallasplumbing.com,"John Downs",President,john@dallasplumbing.com,GPT-4o,
32,Plumbing - Dallas,"Plumbing Mechanical Services",+1 214-363-4477,4.9,100,"Dallas TX",plumbingmechanicalservices.com,"Unknown",Unknown,info@plumbingmechanicalservices.com,,
33,Plumbing - Dallas,"Metro Flow Plumbing",+1 214-328-7371,4.9,500,"1420 N Cockrell Hill Rd Dallas TX",metroflowplumbing.com,"Dina Sanchez",Owner,dina@metroflowplumbing.com,GPT-4o,
